epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.04885,1.23977,3.00243,3.36729,1.40234,0.00417,1,0.32237,0.19108,0.00417,1,0.32272,0.20966,0.50051,1.25384,3.13983,0.98913,0.00014,0.00014,0.00014
2,7.92164,0.65015,0.97801,1.87608,0.97788,0.58887,0.8,0.72178,0.60378,0.58887,0.8,0.72178,0.6317,0.58498,0.99798,2.82001,0.96011,0.000299703,0.000299703,0.000299703
3,10.0795,0.60072,0.50122,1.25696,0.91441,0.01082,1,0.77981,0.63049,0.0101,0.93333,0.71414,0.643,0.77091,1.73319,3.13962,1.1233,0.000459089,0.000459089,0.000459089
4,12.2834,0.56046,0.48474,1.11684,0.90748,1,0.36907,0.9467,0.75067,1,0.36907,0.93046,0.86429,0.72859,0.95646,2.88368,1.05623,0.000618159,0.000618159,0.000618159
5,14.5674,0.58889,0.45858,1.12107,0.92452,1,0.38395,0.91718,0.75695,1,0.38395,0.88269,0.75818,0.66423,1.09048,2.71999,1.01832,0.000776911,0.000776911,0.000776911
6,18.8009,0.57741,0.42219,0.99112,0.90745,1,0.72125,0.93242,0.67293,1,0.71663,0.88529,0.74176,0.93507,1.54069,2.34017,1.32355,0.000935347,0.000935347,0.000935347
7,21.1105,0.62422,0.46688,1.08367,0.94188,1,0.66427,0.86934,0.67459,1,0.66427,0.7986,0.66718,0.87873,2.48784,2.20111,1.33345,0.00109347,0.00109347,0.00109347
8,23.5553,0.56489,0.40522,0.96076,0.92324,0.86111,0.82779,0.85235,0.68523,0.88741,0.8,0.79073,0.51977,0.76997,5.60732,2.01941,1.18751,0.00125127,0.00125127,0.00125127
9,26.0466,0.63335,0.45865,0.96724,0.93433,0.98072,0.8,0.88235,0.56749,0.98072,0.8,0.83316,0.69024,1.01248,2.27267,1.84392,1.52257,0.00140875,0.00140875,0.00140875
10,28.4074,0.61145,0.4418,0.97114,0.94456,0.9059,0.8,0.79491,0.48133,0.9059,0.8,0.78986,0.72292,1.30426,2.51109,1.93126,1.97166,0.00156592,0.00156592,0.00156592
11,33.1189,0.62637,0.54974,0.90462,0.9463,0.91461,0.71522,0.8103,0.60799,0.91326,0.70337,0.74885,0.59017,1.03302,2.87348,2.10953,1.37624,0.00172277,0.00172277,0.00172277
12,36.8316,0.66472,0.4657,0.88679,0.95392,0.79942,0.66667,0.70867,0.53176,0.79942,0.66667,0.66327,0.57515,1.05736,2.41438,1.93666,1.35559,0.00187931,0.00187931,0.00187931
13,43.3912,0.69875,0.47513,0.89219,0.94995,0.67452,0.82986,0.81925,0.61374,0.68409,0.93333,0.85945,0.64487,0.94484,1.6373,1.6044,1.22158,0.00197624,0.00197624,0.00197624
14,50.6923,0.58511,0.43515,0.84186,0.90985,0.68705,0.73333,0.76069,0.58939,0.68705,0.73333,0.78916,0.63306,0.77815,1.77047,2.01034,1.05017,0.00197426,0.00197426,0.00197426
15,57.566,0.63531,0.44528,0.80687,0.93603,0.64069,0.86667,0.76814,0.63757,0.64069,0.86667,0.78602,0.65577,0.85949,3.21353,1.921,1.12085,0.00197228,0.00197228,0.00197228
16,64.2558,0.63678,0.46742,0.77983,0.92101,0.83064,0.8,0.81255,0.71469,0.83064,0.8,0.81333,0.77102,0.68439,1.00684,1.97033,1.01346,0.0019703,0.0019703,0.0019703
17,66.6586,0.64689,0.38157,0.74175,0.91239,0.95597,0.8,0.81955,0.56342,0.95597,0.8,0.81965,0.65163,0.93438,1.07502,2.36501,1.30662,0.00196832,0.00196832,0.00196832
18,68.9524,0.65419,0.43938,0.76317,0.93469,0.78875,0.8,0.82563,0.69338,0.78875,0.8,0.82618,0.75381,0.831,1.14249,1.33408,1.11209,0.00196634,0.00196634,0.00196634
19,71.1991,0.60662,0.45423,0.7689,0.91597,0.81267,0.8,0.75886,0.60141,0.81267,0.8,0.75601,0.66812,0.93652,1.4703,1.74613,1.14239,0.00196436,0.00196436,0.00196436
20,73.4789,0.60823,0.43914,0.71365,0.92138,0.82219,0.66667,0.66858,0.39728,0.82219,0.66667,0.72719,0.61981,1.54495,1.46789,1.92689,1.67424,0.00196238,0.00196238,0.00196238
21,75.8189,0.57879,0.38224,0.64841,0.91663,0.90408,0.73333,0.8078,0.68077,0.90408,0.73333,0.78192,0.75967,0.86216,1.11888,1.27775,1.20253,0.0019604,0.0019604,0.0019604
22,78.1186,0.59121,0.34535,0.63843,0.90667,0.99085,0.8,0.87431,0.78925,0.99085,0.8,0.80019,0.78872,0.63883,1.49148,0.84968,0.96542,0.00195842,0.00195842,0.00195842
23,80.3688,0.59715,0.43573,0.66237,0.9182,0.91862,0.86667,0.88592,0.72715,0.91862,0.86667,0.88143,0.8036,0.76353,0.7876,0.96046,1.04974,0.00195644,0.00195644,0.00195644
24,82.5637,0.57906,0.37866,0.61339,0.8936,0.99231,0.86667,0.9161,0.79017,0.99231,0.86667,0.86525,0.83829,0.7408,0.87468,0.84105,1.03677,0.00195446,0.00195446,0.00195446
25,84.8312,0.57753,0.36479,0.60767,0.91877,0.9974,0.8,0.84461,0.71632,0.9974,0.8,0.87056,0.82133,0.74708,0.70809,0.89083,1.11183,0.00195248,0.00195248,0.00195248
26,87.0455,0.57173,0.44069,0.62957,0.90594,0.99944,0.8,0.84888,0.6878,0.99944,0.8,0.89402,0.79025,0.71767,0.58862,0.96924,1.07834,0.0019505,0.0019505,0.0019505
27,89.2881,0.60276,0.44388,0.66282,0.93628,1,0.90603,0.96962,0.7719,1,0.90603,0.96962,0.84336,0.73452,0.58588,0.81204,1.11921,0.00194852,0.00194852,0.00194852
28,91.5785,0.54304,0.41244,0.57374,0.89473,0.98923,1,0.995,0.8122,0.92307,0.93333,0.93358,0.81522,0.73183,0.95661,0.8073,1.03293,0.00194654,0.00194654,0.00194654
29,94.4757,0.52958,0.41904,0.57364,0.92229,0.93118,1,0.98688,0.81851,0.93118,1,0.98688,0.86513,0.64581,0.5549,0.71417,0.96622,0.00194456,0.00194456,0.00194456
30,96.7966,0.51699,0.41193,0.58028,0.91622,0.98966,0.8,0.88491,0.75085,0.98966,0.8,0.8817,0.79026,0.70546,0.99491,0.85654,0.96826,0.00194258,0.00194258,0.00194258
31,99.0173,0.57391,0.3718,0.58717,0.91065,0.97159,0.8,0.89596,0.76456,0.97159,0.8,0.86777,0.80341,0.56848,0.8888,0.78133,0.91196,0.0019406,0.0019406,0.0019406
32,101.192,0.57072,0.35963,0.53896,0.89879,0.91701,0.8,0.82179,0.74729,0.91701,0.8,0.85148,0.80315,0.5633,0.81231,0.98209,0.94166,0.00193862,0.00193862,0.00193862
33,103.447,0.53001,0.39721,0.51505,0.88445,0.85573,0.8,0.80159,0.71786,0.85573,0.8,0.83923,0.78431,0.71202,0.86978,0.94917,1.05236,0.00193664,0.00193664,0.00193664
34,105.6,0.52146,0.40413,0.51313,0.90541,0.81104,0.8,0.83056,0.63698,0.81104,0.8,0.83076,0.76924,0.94224,0.84886,1.15292,1.20803,0.00193466,0.00193466,0.00193466
35,107.781,0.51912,0.38768,0.50161,0.88821,0.98641,0.8,0.83093,0.61602,0.98641,0.8,0.91472,0.72467,0.90904,0.69665,1.19049,1.11942,0.00193268,0.00193268,0.00193268
36,109.943,0.51151,0.36081,0.49342,0.88643,0.97528,0.8,0.90759,0.7587,0.97528,0.8,0.87454,0.81437,0.7036,1.08945,0.72182,1.03893,0.0019307,0.0019307,0.0019307
37,112.107,0.55023,0.34487,0.51118,0.90448,0.93243,0.92073,0.96317,0.81199,0.93243,0.92073,0.96317,0.85429,0.63523,0.63176,0.58443,0.98365,0.00192872,0.00192872,0.00192872
38,114.359,0.47968,0.3782,0.48228,0.87644,0.93114,1,0.9825,0.82731,0.93114,1,0.9825,0.85081,0.6255,1.03925,0.54185,0.96758,0.00192674,0.00192674,0.00192674
39,116.515,0.51313,0.37273,0.46868,0.89801,0.87836,1,0.95613,0.83444,0.86378,0.93333,0.93729,0.84567,0.54016,0.85172,0.55788,1.02271,0.00192476,0.00192476,0.00192476
40,118.662,0.4915,0.34438,0.47516,0.89104,1,0.99081,0.995,0.86976,1,0.86628,0.94908,0.85287,0.63991,0.7423,0.58068,1.15094,0.00192278,0.00192278,0.00192278
41,120.87,0.51453,0.39276,0.47237,0.91635,1,0.92571,0.98794,0.67756,0.99854,0.86667,0.91677,0.81922,0.73369,0.90627,0.75275,1.03784,0.0019208,0.0019208,0.0019208
42,123.033,0.52442,0.35169,0.48751,0.8887,0.93287,0.9269,0.97567,0.82783,0.93287,0.9269,0.92588,0.79946,0.68497,1.15864,0.64681,1.08152,0.00191882,0.00191882,0.00191882
43,125.332,0.50983,0.38474,0.46226,0.91219,0.86335,0.93333,0.96625,0.84986,0.86335,0.93333,0.96625,0.85798,0.58672,1.02374,0.53336,1.02351,0.00191684,0.00191684,0.00191684
44,128.319,0.49609,0.32643,0.45623,0.89846,0.98986,0.93333,0.99125,0.83268,0.98986,0.93333,0.99125,0.86457,0.70765,0.80003,0.52768,1.13468,0.00191486,0.00191486,0.00191486
45,130.544,0.44263,0.32855,0.42343,0.89468,0.93711,0.99374,0.99125,0.82669,0.99022,0.93333,0.985,0.85074,0.6546,0.74982,0.54075,1.07103,0.00191288,0.00191288,0.00191288
46,132.718,0.4934,0.38925,0.44794,0.90141,0.9964,0.93333,0.985,0.80484,0.9964,0.93333,0.985,0.85905,0.65917,0.64245,0.53703,0.9969,0.0019109,0.0019109,0.0019109
47,135.021,0.4788,0.37928,0.43706,0.88873,1,0.9773,0.995,0.83373,1,0.9773,0.995,0.89491,0.63228,0.4384,0.56384,0.99028,0.00190892,0.00190892,0.00190892
48,137.359,0.49064,0.34716,0.4519,0.87391,1,0.93039,0.96312,0.83127,1,0.86512,0.91813,0.85201,0.59007,0.60626,0.65153,0.98284,0.00190694,0.00190694,0.00190694
49,139.565,0.49132,0.33396,0.43933,0.8849,1,0.92972,0.97413,0.86406,1,0.92972,0.97413,0.89805,0.50794,0.59382,0.60599,0.8933,0.00190496,0.00190496,0.00190496
50,141.855,0.49112,0.36411,0.44101,0.88741,0.92789,0.93333,0.9777,0.83832,0.92789,0.93333,0.9777,0.87994,0.56224,0.56001,0.59446,0.89299,0.00190298,0.00190298,0.00190298
51,144.201,0.4896,0.34799,0.43509,0.88259,0.9302,0.93333,0.97461,0.80293,0.9302,0.93333,0.94042,0.86393,0.63678,0.75134,0.72146,0.94471,0.001901,0.001901,0.001901
52,146.322,0.49429,0.34057,0.44365,0.88546,0.93288,0.92694,0.93726,0.79642,0.93288,0.92694,0.93726,0.87976,0.67069,0.56786,0.87668,0.94562,0.00189902,0.00189902,0.00189902
53,148.468,0.4566,0.32069,0.40256,0.88994,0.93365,1,0.995,0.85333,0.93365,1,0.995,0.92869,0.55107,0.42579,0.77522,0.91224,0.00189704,0.00189704,0.00189704
54,150.613,0.45532,0.35099,0.42198,0.87572,0.94362,1,0.995,0.87007,0.94362,1,0.995,0.90541,0.60994,0.52395,0.79434,1.01377,0.00189506,0.00189506,0.00189506
55,152.752,0.4643,0.28779,0.40815,0.89476,0.9878,1,0.995,0.85892,0.92132,0.93333,0.91485,0.81484,0.57056,0.84349,0.80116,1.01786,0.00189308,0.00189308,0.00189308
56,154.83,0.49241,0.33183,0.42416,0.8903,1,0.98061,0.995,0.88439,0.93203,0.9151,0.92604,0.85633,0.58987,0.74035,0.55607,1.0061,0.0018911,0.0018911,0.0018911
57,156.935,0.47443,0.29424,0.39776,0.87652,0.913,1,0.98688,0.86463,0.913,1,0.98688,0.87026,0.59093,0.62917,0.56772,1.07441,0.00188912,0.00188912,0.00188912
58,159.08,0.48747,0.30318,0.41541,0.88874,0.93718,0.99492,0.99125,0.85,0.93718,0.99492,0.99125,0.89279,0.5173,0.4553,0.6193,1.04657,0.00188714,0.00188714,0.00188714
59,161.186,0.45731,0.33446,0.40655,0.87397,0.91824,0.93333,0.98033,0.83453,0.91824,0.93333,0.98033,0.87137,0.58307,0.42786,0.61466,1.06295,0.00188516,0.00188516,0.00188516
60,163.363,0.44896,0.31791,0.41442,0.89209,1,0.92872,0.97413,0.82757,0.92828,0.86307,0.91469,0.83637,0.58756,0.93413,0.46486,1.04922,0.00188318,0.00188318,0.00188318
61,165.479,0.43465,0.36828,0.38666,0.88301,0.91368,0.86667,0.90204,0.82614,0.91368,0.86667,0.90204,0.83923,0.48551,0.79998,0.47859,0.92964,0.0018812,0.0018812,0.0018812
62,167.72,0.43866,0.33611,0.38194,0.85621,1,0.86195,0.86858,0.79152,1,0.86195,0.87079,0.84714,0.5446,0.92912,0.5703,0.93343,0.00187922,0.00187922,0.00187922
63,170.561,0.46673,0.37466,0.4197,0.87321,1,0.86655,0.8704,0.79379,1,0.86655,0.87573,0.84837,0.52732,0.76458,0.57647,0.90543,0.00187724,0.00187724,0.00187724
64,173.259,0.44791,0.3298,0.39307,0.87372,1,0.86187,0.87738,0.81236,1,0.86187,0.87372,0.84282,0.49929,1.02804,0.58259,0.86923,0.00187526,0.00187526,0.00187526
65,175.793,0.45387,0.34607,0.37844,0.87516,0.98337,0.8,0.91574,0.78414,0.98337,0.8,0.89368,0.85858,0.59063,1.40579,0.514,0.89167,0.00187328,0.00187328,0.00187328
66,178.676,0.4319,0.31568,0.37888,0.86591,0.98752,0.86667,0.97971,0.82832,0.93324,0.93333,0.93144,0.86139,0.55208,0.97094,0.43408,0.93092,0.0018713,0.0018713,0.0018713
67,181.409,0.41032,0.32209,0.35523,0.87278,0.96411,0.86667,0.95625,0.83861,0.92971,1,0.99125,0.8801,0.57033,0.61576,0.43216,1.03481,0.00186932,0.00186932,0.00186932
68,184.252,0.46299,0.30624,0.40147,0.87914,0.98882,0.86667,0.95728,0.85373,0.98882,0.86667,0.93911,0.88633,0.47992,0.5692,0.40282,0.98754,0.00186734,0.00186734,0.00186734
69,186.75,0.4271,0.33684,0.39278,0.87306,0.98812,0.86667,0.94993,0.85073,0.93589,0.97431,0.98688,0.895,0.54509,0.53271,0.43557,0.97462,0.00186536,0.00186536,0.00186536
70,188.964,0.44588,0.31466,0.38331,0.89325,0.98571,0.86667,0.92715,0.81028,0.88417,1,0.98688,0.8752,0.59014,0.53258,0.45317,0.98757,0.00186338,0.00186338,0.00186338
71,191.167,0.44057,0.34111,0.38966,0.86994,1,0.84329,0.93872,0.82487,0.86069,1,0.97971,0.88761,0.60595,0.61604,0.48256,1.05923,0.0018614,0.0018614,0.0018614
72,193.255,0.41516,0.35957,0.3832,0.87094,0.99266,0.86667,0.95491,0.83982,0.99266,0.86667,0.95491,0.84438,0.54002,0.61863,0.52566,0.9622,0.00185942,0.00185942,0.00185942
73,195.634,0.40117,0.32539,0.34884,0.86956,1,0.86566,0.90852,0.81638,1,0.86566,0.90852,0.84457,0.52241,0.52102,0.52665,0.86386,0.00185744,0.00185744,0.00185744
74,197.91,0.41159,0.3296,0.34885,0.86261,0.92807,0.86061,0.90315,0.822,1,0.86324,0.95168,0.86538,0.45822,0.46711,0.49713,0.8522,0.00185546,0.00185546,0.00185546
75,200.186,0.41659,0.31954,0.35779,0.86516,0.98841,0.8,0.90342,0.8123,0.98841,0.8,0.94942,0.86647,0.54689,0.55814,0.59283,0.91792,0.00185348,0.00185348,0.00185348
76,202.592,0.42297,0.30134,0.35648,0.87057,0.97956,0.8,0.89522,0.77922,0.97956,0.8,0.92659,0.84929,0.57107,0.6772,0.63263,0.9254,0.0018515,0.0018515,0.0018515
77,204.942,0.45073,0.28097,0.35672,0.87523,0.9717,0.8,0.90158,0.79814,0.9717,0.8,0.94629,0.85626,0.495,0.65825,0.54091,0.87848,0.00184952,0.00184952,0.00184952
78,207.227,0.44606,0.28413,0.3612,0.89048,1,0.85934,0.90905,0.82861,1,0.85934,0.95865,0.86755,0.56504,0.60455,0.66141,0.92591,0.00184754,0.00184754,0.00184754
79,209.544,0.44238,0.30883,0.35784,0.87615,0.97991,0.86667,0.87556,0.77612,0.97991,0.86667,0.91925,0.85432,0.60386,0.65529,0.60513,0.98273,0.00184556,0.00184556,0.00184556
80,211.742,0.47192,0.32173,0.37118,0.88397,0.99579,0.86667,0.92306,0.80711,0.99579,0.86667,0.92306,0.86505,0.57367,0.68598,0.62578,0.99011,0.00184358,0.00184358,0.00184358
81,214.299,0.49679,0.36133,0.38366,0.88109,0.93263,0.92345,0.95283,0.79123,0.93263,0.92345,0.93285,0.87347,0.61895,0.60714,0.60657,1.09246,0.0018416,0.0018416,0.0018416
82,216.504,0.44515,0.31316,0.36754,0.87244,0.92937,0.87789,0.93264,0.77121,0.92937,0.87789,0.93343,0.8545,0.68074,0.55998,0.71154,1.09859,0.00183962,0.00183962,0.00183962
83,218.693,0.50657,0.4108,0.40749,0.87633,1,0.90584,0.94669,0.82369,1,0.90584,0.94669,0.87916,0.61273,0.47978,0.59319,1.11836,0.00183764,0.00183764,0.00183764
84,220.847,0.4347,0.36636,0.37273,0.87737,0.92828,0.93333,0.93995,0.83511,0.92828,0.93333,0.93995,0.80438,0.53125,0.94431,0.51679,1.01007,0.00183566,0.00183566,0.00183566
85,223.138,0.43742,0.41842,0.36807,0.88504,0.99797,0.93333,0.96071,0.85067,0.99797,0.93333,0.96071,0.8837,0.53412,0.64663,0.45166,0.97874,0.00183368,0.00183368,0.00183368
86,225.497,0.41894,0.35529,0.3386,0.87644,0.96674,0.93333,0.95337,0.83103,0.96674,0.93333,0.95337,0.85134,0.54635,0.53616,0.44219,0.98404,0.0018317,0.0018317,0.0018317
87,227.734,0.41483,0.34771,0.34316,0.87284,1,0.86465,0.947,0.83723,1,0.86465,0.947,0.83169,0.47363,0.59805,0.47467,0.97049,0.00182972,0.00182972,0.00182972
